epoch,train_loss,val_loss,train_psnr,val_psnr,train_ssim,val_ssim,train_lpips,val_lpips
1,0.3932984498170045,0.41583847869447393,30.96470569126819,30.602846422073984,0.750674897403413,0.762748463794345,0.3933181181105986,0.4158698290749128
2,0.3564338076056826,0.40170467601102944,30.876228993416493,30.88173940645846,0.7491902584676022,0.7510226072145998,0.3564519108952703,0.4017265509518079
3,0.34789049303209457,0.39390054104760464,31.278358887733887,31.505566820800485,0.750834612406878,0.758920534225288,0.34790597388253636,0.39391690098639326
4,0.34394651374631846,0.3887991271935643,31.272565835065834,31.374677835051546,0.7516986638080388,0.7534804474302608,0.34396195229935467,0.38881852223411917
5,0.33854530424354645,0.38473127653123107,31.448582597020096,31.442628581716193,0.7526381737807519,0.7556756403028351,0.3385558785949411,0.3847471923087856
6,0.33617326573869544,0.38196526244599,31.423780751905753,31.604305639781685,0.7521696877165627,0.7547443822487113,0.33618350171084543,0.38197037030018194
7,0.3342237783155752,0.3802817433150773,31.421658437283437,31.591319549727107,0.7501940604967948,0.7575257198965282,0.3342315610382017,0.3802997318450576
8,0.33160785297015766,0.3805401711264403,31.48163006756757,31.52371228775015,0.7511511661902287,0.7499535111241662,0.3316200769203699,0.3805501277407709
9,0.3302143226459633,0.37684970945933144,31.37113976957727,31.54474302607641,0.7503410862785863,0.7560984817976805,0.3302282807898042,0.3768692155401948
10,0.32890251090934686,0.37581636834824134,31.46151951230076,31.645078456640388,0.7497065406000953,0.7551866928109839,0.32891401580366425,0.37582910097028505
11,0.3285964468825797,0.3735765372716419,31.401361096673597,31.2867410172832,0.7488270929433039,0.7463655766752577,0.32860922069906445,0.3735894179474303
12,0.32609057938647784,0.3726323245148575,31.413125866250866,31.651464902971497,0.7488449424484581,0.7525647350193299,0.32609922920591866,0.37263469337477256
13,0.3256585536858974,0.3716661998038584,31.414100398475398,31.414076713159492,0.7486429300394144,0.7464319047528806,0.32566885310415583,0.37167819215717857
14,0.3238337590144231,0.37030810280378257,31.435499501905753,31.75542942692541,0.7486508819516632,0.7521587716513797,0.3238502973000043,0.37032960761019934
15,0.32411376783935375,0.36976985341494845,31.430537508662507,31.667146755609462,0.7468687230650122,0.7530034922917298,0.3241269646298943,0.36977466516165103
16,0.3230856025045478,0.368348019277782,31.39034346846847,31.546500720133412,0.7467119688799376,0.7494666363847408,0.32309308914533524,0.36836334284035777
17,0.32185280232155233,0.3673322225354381,31.38579565142065,31.682198491510007,0.7455279799029799,0.7506303388180336,0.32185485374572287,0.36735613321520616
18,0.321337450731982,0.3666440687301016,31.41575168918919,31.590263038204974,0.7463243554552148,0.747312972587553,0.32134134209329523,0.36665313702196406
19,0.3217248103722713,0.36632123753979684,31.319754851004852,31.441328077622803,0.7442557585379851,0.7503966359820345,0.32173090119867465,0.36633589486052154
20,0.319880135920175,0.36581607816290174,31.338834026334027,31.69818829593693,0.7456849878724878,0.7470532863193602,0.319884450255544,0.36582533152194513
